ID;Name;€;
AT111;Mittelburgenland;18800;
AT112;Nordburgenland;22900;
AT113;Südburgenland;18600;
AT121;Mostviertel-Eisenwurzen;24000;
AT122;Niederösterreich-Süd;23600;
AT123;Sankt Pölten;30400;
AT124;Waldviertel;21400;
AT125;Weinviertel;15700;
AT126;Wiener Umland/Nordteil;22400;
AT127;Wiener Umland/Südteil;38800;
AT130;Wien;41900;
AT211;Klagenfurt-Villach;32500;
AT212;Oberkärnten;22400;
AT213;Unterkärnten;23100;
AT221;Graz;39700;
AT222;Liezen;25500;
AT223;Östliche Obersteiermark;29300;
AT224;Oststeiermark;20600;
AT225;West- und Südsteiermark;21400;
AT226;Westliche Obersteiermark;23700;
AT311;Innviertel;24600;
AT312;Linz-Wels;42500;
AT313;Mühlviertel;17000;
AT314;Steyr-Kirchdorf;33900;
AT315;Traunviertel;29000;
AT321;Lungau;22100;
AT322;Pinzgau-Pongau;29000;
AT323;Salzburg und Umgebung;41000;
AT331;Außerfern;35000;
AT332;Innsbruck;36400;
AT333;Osttirol;24000;
AT334;Tiroler Oberland;28000;
AT335;Tiroler Unterland;33200;
AT341;Bludenz-Bregenzer Wald;34600;
AT342;Rheintal-Bodenseegebiet;32800;